Epoch,Train Loss,Val Loss,Val Dice,Best Model,Dice Class 0,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7
53,0.0451,0.0890,0.9283,,0.9941,0.9319,0.9529,0.9083,0.8624,0.9650,0.9198,0.8921
54,0.0411,0.0942,0.9276,,0.9947,0.9292,0.9497,0.9082,0.8511,0.9560,0.9291,0.9026
55,0.0384,0.0857,0.9348,,0.9951,0.9426,0.9575,0.9145,0.8664,0.9652,0.9276,0.9090
56,0.0362,0.0862,0.9365,,0.9951,0.9411,0.9583,0.9140,0.8630,0.9660,0.9331,0.9218
57,0.0357,0.0861,0.9374,,0.9954,0.9405,0.9577,0.9158,0.8737,0.9653,0.9348,0.9156
58,0.0319,0.0905,0.9371,,0.9953,0.9452,0.9577,0.9169,0.8760,0.9659,0.9303,0.9095
59,0.0310,0.0885,0.9404,,0.9954,0.9448,0.9600,0.9181,0.8728,0.9665,0.9397,0.9259
60,0.0321,0.0963,0.9367,,0.9945,0.9357,0.9553,0.9133,0.8763,0.9679,0.9342,0.9161
61,0.0315,0.0887,0.9404,,0.9957,0.9476,0.9606,0.9187,0.8702,0.9679,0.9384,0.9240
62,0.0301,0.0955,0.9355,,0.9949,0.9466,0.9576,0.9184,0.8698,0.9654,0.9258,0.9053
63,0.0276,0.0897,0.9435,,0.9956,0.9491,0.9609,0.9196,0.8822,0.9692,0.9454,0.9262
64,0.0269,0.0945,0.9402,,0.9951,0.9465,0.9577,0.9103,0.8815,0.9697,0.9464,0.9147
65,0.0260,0.0938,0.9419,,0.9957,0.9470,0.9623,0.9238,0.8859,0.9697,0.9317,0.9189
66,0.0250,0.0950,0.9442,,0.9956,0.9481,0.9630,0.9262,0.8808,0.9698,0.9466,0.9231
67,0.0258,0.0914,0.9459,,0.9955,0.9478,0.9639,0.9267,0.8882,0.9710,0.9464,0.9276
68,0.0266,0.0933,0.9421,,0.9962,0.9497,0.9605,0.9141,0.8796,0.9703,0.9419,0.9246
69,0.0249,0.0939,0.9445,,0.9956,0.9498,0.9637,0.9234,0.8878,0.9708,0.9450,0.9201
70,0.0235,0.0965,0.9447,,0.9958,0.9505,0.9632,0.9247,0.8810,0.9685,0.9439,0.9300
71,0.0238,0.0934,0.9470,,0.9963,0.9534,0.9630,0.9263,0.8885,0.9699,0.9447,0.9343
72,0.0227,0.0952,0.9472,,0.9959,0.9494,0.9656,0.9281,0.8868,0.9683,0.9481,0.9355
73,0.0211,0.0955,0.9489,,0.9962,0.9537,0.9653,0.9285,0.8883,0.9711,0.9500,0.9377
74,0.0208,0.0979,0.9472,,0.9963,0.9535,0.9632,0.9206,0.8913,0.9706,0.9476,0.9344
75,0.0210,0.1059,0.9407,,0.9962,0.9532,0.9659,0.9094,0.8434,0.9695,0.9501,0.9382
76,0.0209,0.1058,0.9437,,0.9963,0.9526,0.9631,0.9209,0.8647,0.9689,0.9487,0.9348
77,0.0209,0.0965,0.9496,,0.9964,0.9547,0.9667,0.9313,0.8874,0.9705,0.9505,0.9390
78,0.0206,0.1020,0.9457,,0.9961,0.9529,0.9656,0.9268,0.8865,0.9713,0.9386,0.9277
79,0.0217,0.1045,0.9443,,0.9961,0.9482,0.9611,0.9164,0.8802,0.9689,0.9481,0.9356
80,0.0208,0.1025,0.9456,,0.9959,0.9528,0.9625,0.9246,0.8820,0.9699,0.9464,0.9307
81,0.0195,0.1014,0.9474,,0.9964,0.9547,0.9671,0.9276,0.8847,0.9675,0.9460,0.9350
82,0.0216,0.1049,0.9436,,0.9960,0.9495,0.9640,0.9187,0.8657,0.9703,0.9506,0.9343
83,0.0258,0.0995,0.9457,,0.9962,0.9511,0.9637,0.9243,0.8861,0.9697,0.9414,0.9329
84,0.0219,0.0966,0.9488,,0.9964,0.9545,0.9662,0.9282,0.8895,0.9701,0.9479,0.9374
85,0.0187,0.1006,0.9487,,0.9965,0.9545,0.9674,0.9272,0.8839,0.9700,0.9482,0.9419
86,0.0178,0.1020,0.9502,,0.9965,0.9553,0.9679,0.9346,0.8906,0.9689,0.9476,0.9402
87,0.0176,0.1041,0.9492,,0.9964,0.9550,0.9671,0.9318,0.8905,0.9690,0.9433,0.9402
88,0.0179,0.1054,0.9494,,0.9961,0.9554,0.9687,0.9330,0.8934,0.9709,0.9472,0.9306
89,0.0187,0.1065,0.9498,,0.9965,0.9558,0.9678,0.9307,0.8907,0.9689,0.9459,0.9420
90,0.0168,0.1060,0.9513,,0.9965,0.9548,0.9675,0.9337,0.8948,0.9718,0.9514,0.9399
91,0.0161,0.1074,0.9509,,0.9963,0.9539,0.9669,0.9324,0.8915,0.9722,0.9539,0.9400
92,0.0159,0.1083,0.9528,,0.9965,0.9565,0.9684,0.9356,0.8975,0.9727,0.9540,0.9409
93,0.0168,0.1080,0.9512,,0.9966,0.9558,0.9681,0.9342,0.8908,0.9709,0.9506,0.9427
94,0.0171,0.1052,0.9511,,0.9965,0.9566,0.9684,0.9341,0.8953,0.9721,0.9500,0.9357
95,0.0159,0.1068,0.9528,,0.9965,0.9573,0.9705,0.9338,0.8950,0.9732,0.9536,0.9422
96,0.0155,0.1128,0.9507,,0.9963,0.9554,0.9691,0.9340,0.8938,0.9691,0.9466,0.9414
97,0.0164,0.1097,0.9500,,0.9965,0.9555,0.9667,0.9299,0.8917,0.9713,0.9505,0.9377
98,0.0183,0.1090,0.9497,,0.9962,0.9517,0.9650,0.9296,0.8937,0.9718,0.9512,0.9383
99,0.0172,0.1091,0.9510,,0.9965,0.9556,0.9687,0.9324,0.8927,0.9715,0.9499,0.9408
100,0.0151,0.1063,0.9549,,0.9967,0.9589,0.9707,0.9390,0.9013,0.9733,0.9547,0.9444
